2018-11-14T10_09_17,brklassik,33.0,43
2018-11-14T10_09_17,dlf,27.0,32
2018-11-14T10_09_47,brklassik,24.0,30
2018-11-14T10_09_47,dlf,32.0,47
2018-11-14T10_10_17,brklassik,32.0,30
2018-11-14T10_10_17,dlf,28.0,24
2018-11-14T10_10_48,brklassik,30.0,35
2018-11-14T10_10_48,dlf,31.0,30
2018-11-14T10_11_18,brklassik,36.0,47
2018-11-14T10_11_18,dlf,27.0,30
2018-11-14T10_11_48,brklassik,37.0,30
2018-11-14T10_11_48,dlf,29.0,41
2018-11-14T10_12_18,brklassik,40.0,35
2018-11-14T10_12_18,dlf,29.0,30
2018-11-14T10_12_48,brklassik,32.0,46
2018-11-14T10_12_48,dlf,29.0,36
2018-11-14T10_13_18,brklassik,29.0,33
2018-11-14T10_13_18,dlf,25.0,35
2018-11-14T10_13_49,brklassik,36.0,30
2018-11-14T10_13_49,dlf,26.0,25
2018-11-14T10_14_19,brklassik,24.0,46
2018-11-14T10_14_19,dlf,27.0,47
2018-11-14T10_14_49,brklassik,30.0,46
2018-11-14T10_14_49,dlf,29.0,35
2018-11-14T10_15_19,brklassik,35.0,35
2018-11-14T10_15_19,dlf,28.0,41
2018-11-14T10_15_49,brklassik,30.0,46
2018-11-14T10_15_49,dlf,29.0,47
2018-11-14T10_16_19,brklassik,23.0,41
2018-11-14T10_16_19,dlf,32.0,22
2018-11-14T10_16_49,brklassik,24.0,19
2018-11-14T10_16_49,dlf,27.0,46
2018-11-14T10_17_19,brklassik,45.0,12
2018-11-14T10_17_19,dlf,34.0,22
2018-11-14T10_17_49,brklassik,49.0,12
2018-11-14T10_17_50,dlf,32.0,30
2018-11-14T10_18_20,brklassik,26.0,41
2018-11-14T10_18_20,dlf,25.0,46
2018-11-14T10_18_50,brklassik,31.0,17
2018-11-14T10_18_50,dlf,29.0,35
2018-11-14T10_19_20,brklassik,29.0,30
2018-11-14T10_19_20,dlf,29.0,30
2018-11-14T10_19_50,brklassik,27.0,24
2018-11-14T10_19_50,dlf,29.0,41
2018-11-14T10_20_20,brklassik,31.0,41
2018-11-14T10_20_20,dlf,29.0,33
2018-11-14T10_20_50,brklassik,24.0,32
2018-11-14T10_20_50,dlf,29.0,35
2018-11-14T10_21_21,brklassik,29.0,41
2018-11-14T10_21_21,dlf,27.0,47
2018-11-14T10_21_51,brklassik,28.0,30
2018-11-14T10_21_51,dlf,25.0,46
2018-11-14T10_22_21,brklassik,28.0,47
2018-11-14T10_22_21,dlf,32.0,41
2018-11-14T10_22_51,brklassik,28.0,30
2018-11-14T10_22_51,dlf,33.0,41
2018-11-14T10_23_21,brklassik,26.0,32
2018-11-14T10_23_21,dlf,28.0,41
2018-11-14T10_23_51,brklassik,31.0,30
2018-11-14T10_23_51,dlf,34.0,35
2018-11-14T10_24_21,brklassik,28.0,41
2018-11-14T10_24_21,dlf,29.0,41
2018-11-14T10_24_51,brklassik,29.0,41
2018-11-14T10_24_51,dlf,32.0,30
2018-11-14T10_25_21,brklassik,25.0,35
2018-11-14T10_25_21,dlf,25.0,35
2018-11-14T10_25_51,brklassik,32.0,30
2018-11-14T10_25_51,dlf,22.0,44
2018-11-14T10_26_22,brklassik,29.0,30
2018-11-14T10_26_22,dlf,28.0,35
2018-11-14T10_26_52,brklassik,25.0,31
2018-11-14T10_26_52,dlf,29.0,35
2018-11-14T10_27_22,brklassik,28.0,47
2018-11-14T10_27_22,dlf,34.0,30
2018-11-14T10_27_52,brklassik,28.0,36
2018-11-14T10_27_52,dlf,33.0,35
2018-11-14T10_28_22,brklassik,30.0,35
2018-11-14T10_28_22,dlf,33.0,30
2018-11-14T10_28_53,brklassik,30.0,25
2018-11-14T10_28_53,dlf,27.0,30
2018-11-14T10_29_23,brklassik,27.0,30
2018-11-14T10_29_23,dlf,29.0,33
2018-11-14T10_29_53,brklassik,32.0,30
2018-11-14T10_29_53,dlf,28.0,46
2018-11-14T10_30_23,brklassik,29.0,30
2018-11-14T10_30_23,dlf,27.0,47
2018-11-14T10_30_53,brklassik,29.0,41
2018-11-14T10_30_53,dlf,31.0,41
2018-11-14T10_31_23,brklassik,26.0,30
2018-11-14T10_31_23,dlf,32.0,41
2018-11-14T10_31_53,brklassik,24.0,43
2018-11-14T10_31_53,dlf,35.0,35
2018-11-14T10_32_23,brklassik,30.0,30
2018-11-14T10_32_23,dlf,29.0,35
2018-11-14T10_32_53,brklassik,23.0,12
2018-11-14T10_32_53,dlf,30.0,30
2018-11-14T10_33_23,brklassik,28.0,43
2018-11-14T10_33_23,dlf,27.0,33
2018-11-14T10_33_54,brklassik,26.0,41
2018-11-14T10_33_54,dlf,31.0,35
2018-11-14T10_34_24,brklassik,29.0,46
2018-11-14T10_34_24,dlf,31.0,47
2018-11-14T10_34_54,brklassik,28.0,35
2018-11-14T10_34_54,dlf,30.0,35
2018-11-14T10_35_24,brklassik,31.0,19
2018-11-14T10_35_24,dlf,27.0,12
2018-11-14T10_35_54,brklassik,46.0,49
2018-11-14T10_35_54,dlf,29.0,47
2018-11-14T10_36_24,brklassik,33.0,30
2018-11-14T10_36_24,dlf,32.0,30
2018-11-14T10_36_54,brklassik,35.0,47
2018-11-14T10_36_54,dlf,28.0,35
